CLICS Form,Variety,ISO CODE,Family,Form in source,Gloss in source,Dataset,lat,long
uvi,Manggarai,mqy,Austronesian,uvi,YAM,Diachronic Atlas of Comparative Linguistics,-8.55748,120.329
mangat,Buru,bqw,Austronesian,maŋa-t,YAM,Diachronic Atlas of Comparative Linguistics,7.01091,10.8617
ubi,Eastern Fijian,#N/A,Austronesian,uβi,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
uhi,Hawaiian,haw,Austronesian,uhi,YAM,Diachronic Atlas of Comparative Linguistics,19.6297,-155.43
ngangarangi,Maori,mri,Austronesian,ngangarangi,YAM,Diachronic Atlas of Comparative Linguistics,-38.2881,176.541
uhi,Rapanui,#N/A,Austronesian,ʔuhi,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
uhi,Rotuman,rtm,Austronesian,ʔuhi,YAM,Diachronic Atlas of Comparative Linguistics,-12.5008,177.066
ufi,Samoan,smo,Austronesian,ufi,YAM,Diachronic Atlas of Comparative Linguistics,-13.92,-171.83
ufi,Tahitian,tah,Austronesian,ufi,YAM,Diachronic Atlas of Comparative Linguistics,-17.6485,-149.45
ufi,Tongan,ton,Austronesian,ʔufi,YAM,Diachronic Atlas of Comparative Linguistics,-21.17,-175.25
ampun,Trukese,#N/A,Austronesian,ampun,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
iamm,Marshallese,mah,Austronesian,[iāmᵚ],YAM,Diachronic Atlas of Comparative Linguistics,3.12965,170.463
kep,Ponapean,#N/A,Austronesian,kēp,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
u,Cemuhî,cam,Austronesian,u,YAM,Diachronic Atlas of Comparative Linguistics,-20.8489,165.13
auh,Paama,pma,Austronesian,auh,YAM,Diachronic Atlas of Comparative Linguistics,-16.4755,168.237
sesul,Sawai,szw,Austronesian,sɛsul,YAM,Diachronic Atlas of Comparative Linguistics,0.51111,128.086
mu,A'jië,#N/A,Austronesian,mʌu,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
tetu,Kilivila,kij,Austronesian,tetu,YAM,Diachronic Atlas of Comparative Linguistics,-8.72574,151.072
maho,Motu,meu,Austronesian,maho,YAM,Diachronic Atlas of Comparative Linguistics,-9.67492,147.424
kai,Lau,llu,Austronesian,kai,YAM,Diachronic Atlas of Comparative Linguistics,-8.51018,160.872
dago,Chamorro,cha,Austronesian,dago,YAM,Diachronic Atlas of Comparative Linguistics,14.3307,145.276
uvi,Malagasy (Merina),#N/A,Austronesian,uvi,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
uwi,Javanese,jav,Austronesian,uwi,YAM,Diachronic Atlas of Comparative Linguistics,-0.572307,110.885
tila,Madurese,#N/A,Austronesian,tila,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
gadong,Acehnese,#N/A,Austronesian,gadông,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
phaj21,Cham (Hainan),#N/A,Austronesian,pʰaj²¹,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
ubi,Indonesian,ind,Austronesian,ubi,YAM,Diachronic Atlas of Comparative Linguistics,-7.33458,109.716
sakut,Timugon,#N/A,Austronesian,sakut,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
suhat,Batak Toba,bbc,Austronesian,suhat,YAM,Diachronic Atlas of Comparative Linguistics,2.35498,99.1761
ubih,Aklanon,#N/A,Austronesian,ūbih,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
pulugan,Palawan,#N/A,Austronesian,pulugan,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
qubi,Cebuano,ceb,Austronesian,qu:bi,YAM,Diachronic Atlas of Comparative Linguistics,8.38799,124.367
wiwi,Gorontalo,gor,Austronesian,wiwi,YAM,Diachronic Atlas of Comparative Linguistics,0.62689,122.288
qubi,lokano,#N/A,Austronesian,qu:bi,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
ubi,Isnag,isd,Austronesian,ūbi,YAM,Diachronic Atlas of Comparative Linguistics,18.2139,121.16
leteng,Maranao,mrw,Austronesian,leteng,YAM,Diachronic Atlas of Comparative Linguistics,7.79414,124.175
kamote,Tagalog,tgl,Austronesian,kamote,YAM,Diachronic Atlas of Comparative Linguistics,14.06,121.747
ovi,Yami,tao,Austronesian,ovi,YAM,Diachronic Atlas of Comparative Linguistics,22.055,121.544
lamekalolo,Bugis,bug,Austronesian,lame kaloloʔ,YAM,Diachronic Atlas of Comparative Linguistics,-0.251495,119.251
hui,Sundanese,#N/A,Austronesian,hui,YAM,Diachronic Atlas of Comparative Linguistics,#N/A,#N/A
tanuban,Puyuma,pyu,Austronesian,tanuban,YAM,Diachronic Atlas of Comparative Linguistics,22.643,120.996
baliloko,Rukai,dru,Austronesian,baḷiloko,YAM,Diachronic Atlas of Comparative Linguistics,22.7738,120.844
tarucowildyam,Tsou,tsu,Austronesian,taʔruȼo (wild yam),YAM,Diachronic Atlas of Comparative Linguistics,23.216,120.787
sipu,Thao,ssf,Austronesian,sipu,YAM,Diachronic Atlas of Comparative Linguistics,23.8333,120.93
tai,Bunun,bnn,Austronesian,tai,YAM,Diachronic Atlas of Comparative Linguistics,23.4116,121.025
ubi,Bali,ban,Austronesian,ubi,YAM,Diachronic Atlas of Comparative Linguistics,-8.35714,115.075
ukrai,Khasi,kha,Austroasiatic,u krái,yam,Intercontinental Dictionary Series,24.977,91.9998
hona,Wa,#N/A,Austroasiatic,hon.A,yam,Intercontinental Dictionary Series,#N/A,#N/A
